Address,Amount Deposited
0x0a539e25e86A3693f7DDCc0fb1E8aB3e38441E54,40.21565
0x2Df45A043D2595024609db42a977C796d0756076,40.05807
0x23117159673bD45F6ed850eb9Ec2335055DF70Cf,40.05331
0xBDC3e70736Ac6482282b43695B7428594B644af5,39.98425
0x46f0d70465BFE5d8E43cbE538bE8eb0dde308548,39.90164
0xe844E36F4bd6ebc6037068c573bA2c2887256FB7,39.81164
0xf728B6824110deF33c4f2696D1aB0098e8c6081f,39.74901
0xbF45974D2F19fF56beaa57e383bC2a0CC0891Ded,39.70158
0x7C1C54F3F8AB1A4B44b1861E719229C9eC948268,31.97826
0x3997928d1edBE10E67f9027b5ED370e8094258E7,31.55663
0x2aD5B758C1089a2Ad703684456645333657cD244,30.63133
0xB74BA6aE0c780c4665E6652Cb9b088d584d8bE4c,30.03644
0x69d5F8e1C2b8982A17F893f2658f3adB6a14929b,30.03457
0x7bb5136464434048A7b3d8bEdF1c6313055d2931,29.91611
0xE9D9272F95d8b8237AC7fd13aA5b17DE3125B27E,29.81044
0xd93249E5Cf9F3AaA89A278f5E4Ff2853CBb2CD86,28.81719
0xD26eA7412FB75D5E4c8c9F3EE7b1dfFf64440eE8,28.60424
0xc2508cC6B81bd32544Cce05451466f04c09B6EC9,28.57795
0x515ed2e17413280f4E9D94d62D796ca52C77E6FC,27.93732
0x9692856aB1778C4a57BBf392598e7892A9Bd1A7b,27.89433
0x7b1A3F1A6b73ce075Dc48A5b14642B838c599475,27.23145
0xfa2c7EBD96ef8acA7Dab9292E7096d6ac525127E,25.81839
0x338554EFB1b70200CbCA63833aC1Af542c5C43F1,25.33624
0xF45605e25C2494896f3e19A6D1bc59724c63BA26,25.25933
0x0bE8ffE44bE281708A7DDe13Af68120fD4c974ea,24.9955
0xe3a2A53E6BC71Bc5Ec34313b5aa783F4733bC419,24.73923
0xD04e2747bDA98DEDaF2EEef655c430Ce2960372c,23.86292
0xeE031c468071fDdA24c470E8C48552Eb27144545,22.46614
0x31e56620B20493D4d76F007F5815C872ae2FBf7D,22.10768
0xEb7cb816d7d6CdE838C50243A70927C33789C14F,22
0x910342c133dE998bEBe56240d33376213eC0F39E,21.83594
0xF93241a87065F8D050569CAaEc0C599a37Dc4B33,21.75243
0xD36D04576130AD0F4F4d764E2902c3Af4725433E,21.7
0x60A2F8E3A303a437ADBe9090B5C83950BCc288bA,20.85553
0x4a8918794917b1B2BfB2a78C4241cBe9911cda01,20.85462
0xF2943ee31c7efd0C84fE15401c25967167bfE84B,20.83279
0xC15daa57A0EC918a914a15893101A246C5E3A5C0,20.818
0x18Da3b2029c9d3Ed16548EE235999065D0D57c3b,20.46612
0x508D4589ba566f94EdB89a4aB15466ee128dFfC3,20.32525
0xbB9103261DdAB65Ab6C737d29cECEcF4b4172de9,20.32513
0x90B5C0a0f414c7824D54802c5ab0c9Fb10Fb82d8,20.32479
0xCBc0012dd50F9e3920D55EA25aa6a22104c1c9ca,20.32454
0x3a7F06E5e9521D7922e77a12AaF317244e30f793,20.32417
0xE592ec90df6b7E757d098f266Cf0bF7e372E12C6,20.32408
0xBA06335BD9eA03fD5055998BCB0fA5E9203FC12C,20.32379
0x14633eDFA70dbfd900af8c660E481368Bf015e78,20.32363
0xD7051bA0E9eC3D9FaB1d41eECc6705D0C47dcf00,20.32329
0x63Eb8D18A06f24BD6C81C8116E73A6B44FBBeDd0,20.32292
0x124d814F42f378ec8df4946AA11d4c6C60b03102,20.32275
0x8550d21F146cC1efB0bCfC97dFc4446Ae10845A5,20.32246
0xC0434F31b1F4ABa472a73E6D125ce72C1427a3dA,20.3146
0x405e18D418fF1f07B54aD9D9FFcE69118C56Ce1c,20.30255
0x7ad56492586eE0716478bDBBC10b25b80099dab0,20.29885
0x9AB8e1f35728B5bF9397761E868a7573704a081c,20.09834
0x6fC915b7228d757c9A3C8fEB099E0909Fb00855D,20.03161
0x7F874418ef91182952FEe601F4A93369F3F1e7e1,20.02982
0x29c7580BeBb7222E05cB5c46Cd63724A35D3D117,20.02919
0x588ffCAA70A489402143561D5a309848Dc63C0ef,20.02008
0xF25790B446824704826f928AF1F3Be86b986eDBF,19.98552
0x83c3fd502e8D284f71ebdc5cc0514D640D71894C,19.98546
0x5d2906317e897e1C7DF42DEA4601b1DadDF6DD63,19.98111
0xB7F51aD220953d56908F8a0c50f64e3851F5c848,19.92829
0x02A9cE87f684F8f9B02cDd7db607480c9e5bb36C,19.91756
0x79344F752BA8e2dfeDc5E06d4c78f3530C1cC205,19.91214
0xAFd4280c5CF73cc503DF84669321901fb77dEE95,19.91211
0x83dd182De586d13269163493e18B49cbBB731Fab,19.91208
0x7cBE8cCC48E754f498971bCf9c7CE3fa21BE5Fbf,19.90087
0x07e9A1d67b7435F1498037b0133Cd610752B14D1,19.89396
0x9a8B83341E8c61e62BD46d371F86f548A0553E0A,19.88314
0x12307bCE1438923703C7Aa09864dD77166732b6e,19.8798
0xDA2DD512c80b7505aAAd74716346a021e84a744b,19.8775
0x420498ff325F225f8d25CF86FbA19Cd046C1C73C,19.8763
0xC6cdDDC68202dccF0C66837DB0d1C7Df289cE92e,19.86903
0xf9AC74d3dA1785dB9bc1E8B29e47FC33Ca8FC9db,19.86899
0xd3125DAb276a334a01ecC524C378f90A634F69e7,19.86893
0x84997F863b2f9178878B722Fb85EBB2172160eD8,19.86891
0x1bCa2C6C8888fFA59eBd0CfF2FB94D8943C70345,19.78233
0x03A81442B06C71f0b5850286DC36F99C6F449892,19.75185
0xB671fCA220D99876f5AB44195D540b7B5A7D3F59,19.02802
0xd41bcfaa99cABfF1A5f4310b591C92cc55CFfA8d,19.02783
0xd3eF87C65d744f2548122e6867439Ef238e4F97c,18.86783
0x2BCA8861f64761846bdE0169c4EfAfCcB0Cd6F3b,18.86461
0x99a9E732A4Bd058eD36cB1BCDef58809D0baa998,18.13705
0x9961940921F734c5f563ea0C4f594977c7D1b063,18.02693
0x1CFBc922560A2Aa66f0d66930C8F166F832Ce6A2,18.02646
0xF7b43db7561825566F67D74dEd5E586Bcb259295,18.02608
0x19957b77C5cB6EFF62D25FA20713Ccb6619A05e5,17.96089
0x31f5F88327Ea143322aB493F53FDaa42Da788BA0,17.94095
0xceb638A3DD2CD569992c3D92dB9433fe90987E5b,17.87782
0x6dbb95b7cf1575f7B7Bb09b4f47DF66f3Ff932b8,17.78104
0xEB1CF605fc7073E3774C473DE8653cE905C92e74,17.25756
0x17A8eaF9241a220E1ebDA22A623cb058530cb0aB,17.19635
0x3C01a3D79fE30D78210629c3BAaE9Bd27eff4Db7,17.02516
0x68D8B1e6305D86106b44E50F737b1c1F3B9A2235,16.97637
0x30c98Ab8FB66212634bF284F3C13b1e1fe61B3CE,16.68433
0x2460648b0dD9d40575687E3fc431FE48a2b399c0,15.99679
0x7B74457d60b238D195c693549f94f3E4b876DaA2,15.95419
0x508559075f3574eD02fBBED35f60d67D1e87E82e,15.95407
0x2c221A9203492b79C3c43133ad2D6c0B3775B214,15.95288
0x72eF5647a5Bf0258da10Ef3cC1d9Beb841e4FF28,15.95288
0x42aFE93A50c9fBA4BF55DE264DA7BFaCdbd2ec70,15.95287
0xdaB032187306Adf09D491561208121a034Af0826,15.9528
0xBd894D929802E09eE8ce3e700DAF187d4BFcE68c,15.95275
0x410c3BB8C87Df2b4767A1F3791dfF5B8388B950F,15.9527
0xfF55A54cc8384deB2d8E5D273066bc44A18f12dc,15.95209
0x7E82a7Bb5E6787bEB07C363A0fbb42304AC04525,15.9431
0xcb1B609958e6f02314869a67bebd25ffB719e84c,15.88751
0xf504b2BcB9125E3d5243460999668d79F38f9647,15.88175
0x1E69fDC52771ff8D8bdE8afb68FD6321781bf534,14.82297
